max_dropouts,min_thickness,max_ph_offset,drop_points,chip_run,dropout_run,dropout_run_relaxed,shiner_run,any_defect_run,any_defect_relaxed,SubID,label
4.0,2.26,2.2309,0,0,0,0,0,0,0,260716800159,1
2.0,2.38,4.0746,0,0,0,0,0,0,0,260716800318,1
0.0,2.3,5.2292,0,0,0,0,0,0,0,260716800472,1
0.0,2.34,6.2486,0,0,0,0,0,0,0,260716800583,1
4.0,2.28,1.9226,0,0,0,0,0,0,0,260716800721,1
0.0,2.32,2.3599,0,0,0,0,0,0,0,260716801077,1
0.0,2.32,3.0342,0,0,0,0,0,0,0,260716801325,1
3.0,2.36,7.2526,0,0,0,0,0,0,0,260716802093,1
0.0,2.28,5.4185,0,0,0,0,0,0,0,260716802372,1
4.0,2.28,2.0668,0,0,0,0,0,0,0,260716802746,1
0.0,2.28,2.5317,0,0,0,0,0,0,0,260716803134,1
0.0,2.3,2.9926,0,0,0,0,0,0,0,260716803782,1
0.0,2.46,7.1543,0,0,0,0,0,0,0,260716804050,1
3.0,2.44,4.9356,0,0,0,0,0,0,0,260716804136,1
10.0,2.3,5.0301,0,0,0,0,0,0,0,260716804197,1
0.0,2.28,3.9224,0,0,0,0,0,0,0,260716804263,1
0.0,2.3,4.3913,0,0,0,0,0,0,0,260716804310,1
0.0,2.48,2.6249,0,0,0,0,0,0,0,260716804573,1
3.0,2.48,3.5744,0,0,0,0,0,0,0,260716804575,1
2.0,2.34,6.2145,0,0,0,0,0,0,0,260716804595,1
0.0,2.44,3.1461,0,0,0,0,0,0,0,260716805060,1
2.0,1.8,8.0198,0,1,0,0,0,1,1,260716805062,1
0.0,2.32,6.1746,0,0,0,0,0,0,0,260716805083,1
3.0,2.38,2.8826,0,0,0,0,0,0,0,260716805215,1
800.0,0.0,8.6688,98,1,1,1,0,1,1,260716805568,1
3.0,2.28,3.1901,0,0,0,0,0,0,0,260716805632,1
0.0,2.2,2.3941,0,0,0,0,0,0,1,260716805774,1
0.0,2.38,4.5636,0,0,0,0,0,0,0,260716805789,1
0.0,2.32,5.3264,0,0,0,0,0,0,0,260716805803,1
0.0,2.26,4.5034,0,0,0,0,0,0,0,260716806260,1
2.0,2.32,4.3142,0,0,0,0,0,0,0,260716806261,1
2.0,2.18,3.7475,0,0,0,0,0,0,1,260716806291,1
0.0,2.28,6.3584,0,0,0,0,0,0,0,260716806543,1
0.0,2.46,2.7081,0,0,0,0,0,0,0,260716806632,1
0.0,2.4,2.8301,0,0,0,0,0,0,0,260716806691,1
